Latitude,Longitude,Disturbance agent
45.9496667,7.1334444,hydro_geo
46.07,7.47,hydro_geo
46.12,7.53,hydro_geo
46.06,7.55,hydro_geo
46.1248306,7.5755444,hydro_geo
46.3856667,7.7228889,outbreak
46.3944444,7.7597222,outbreak
46.05,7.7666667,hydro_geo
46.1615833,7.7750278,hydro_geo
46.1166667,7.7833333,hydro_geo
46.3977439,7.8085647,outbreak
46.1833333,7.8166667,hydro_geo
46.4166667,7.8166667,hydro_geo
46.07325,7.8206389,hydro_geo
46.3666667,7.9833333,hydro_geo
42.55,74.4833333,hydro_geo
32,77.0333333,hydro_geo
43.1559444,77.0486389,outbreak
32.6,77.5,hydro_geo
44.45,7,hydro_geo
46.11,8.05,hydro_geo
46.5333333,8.3333333,hydro_geo
46.085625,8.478702,hydro_geo
38.713,85.52,hydro_geo
53.2,87.2,fire
46.2990539,9.1933736,fire
59.65,9.32,fire
47.5,9.38,hydro_geo
45,9.59,hydro_geo
47.0833333,9.6333333,hydro_geo
46.7166667,9.9166667,hydro_geo
50,95,fire
48.29,98.52,fire
28.34925,99.0318667,fire
15.4,99.1,fire
48.09,99.62,fire
